BUSINESSID,NAME,REGISTRATIONDATE,COMPANYFORM
3454886-7,Nastolan Kiinteistöpalvelu Oy,2024-06-04,Osakeyhtiö
3458542-2,HS-Metalli Oy,2024-06-20,Osakeyhtiö
3458544-9,HS-Kiinteistöt Oy,2024-06-20,Osakeyhtiö
3470570-3,Marsac Oy,2024-08-23,Osakeyhtiö
3472861-4,MD Clean Ab,2024-09-02,Osakeyhtiö
3475498-6,Dexterous Finland Oy,2024-09-13,Osakeyhtiö
3476334-8,Tesseract Investment Oy,2024-09-17,Osakeyhtiö
3478354-1,Nordic Gym Factory Oy,2024-09-25,Osakeyhtiö
3479444-3,TIMUR8848 BREWERY OY,2024-09-30,Osakeyhtiö
3481346-4,Pohjalab Oy,2024-10-08,Osakeyhtiö
